Year,Rtype,Dname,Cname,City,Sname,Type,gsId,Lat,Lon,Enrollment,Plan504,FreeAnd Reduced PriceLunch,Enroll12,Percent Teachers InFirst SecondYear,ActSat Number Participation,NumTstTakr,ApCourse Participation,ApCourse Passed,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,ParentRating,gsRating,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic"
2014,S,Livermore Valley Joint Unified,Alameda,Livermore,Granada High,public,148,37.675205,-121.78983999999998,2059.0,2.9,15.06,467,9.1,479,108,28.5,542,26.0,26.0,26.0,26.0,99,91.67,4.0,9.0,9.96,1.55,24.58,7.29,0.34,0.34,55.95
2015,S,Livermore Valley Joint Unified,Alameda,Livermore,Granada High,public,148,37.675205,-121.78983999999998,2059.0,2.9,15.06,454,9.1,479,114,28.5,542,25.0,25.0,26.0,25.0,95,83.33,4.0,9.0,9.96,1.55,24.58,7.29,0.34,0.34,55.95
2016,S,Livermore Valley Joint Unified,Alameda,Livermore,Granada High,public,148,37.675205,-121.78983999999998,2059.0,2.9,15.06,473,9.1,479,157,28.5,542,26.0,26.0,26.0,25.0,139,88.54,4.0,9.0,9.96,1.55,24.58,7.29,0.34,0.34,55.95
2017,S,Livermore Valley Joint Unified,Alameda,Livermore,Granada High,public,148,37.675205,-121.78983999999998,2059.0,2.9,15.06,470,9.1,479,158,28.5,542,26.0,26.0,26.0,25.0,137,86.71,4.0,9.0,9.96,1.55,24.58,7.29,0.34,0.34,55.95
2018,S,Livermore Valley Joint Unified,Alameda,Livermore,Granada High,public,148,37.675205,-121.78983999999998,2059.0,2.9,15.06,513,9.1,479,148,28.5,542,25.0,26.0,26.0,25.0,126,85.14,4.0,9.0,9.96,1.55,24.58,7.29,0.34,0.34,55.95
2014,S,Livermore Valley Joint Unified,Alameda,Livermore,Livermore High,public,151,37.68052700000001,-121.76173,1794.0,1.8,20.35,438,2.5,265,74,24.2,397,25.0,25.0,25.0,24.0,59,79.73,4.0,8.0,8.97,1.78,29.32,6.41,0.28,0.5,52.73
2015,S,Livermore Valley Joint Unified,Alameda,Livermore,Livermore High,public,151,37.68052700000001,-121.76173,1794.0,1.8,20.35,382,2.5,265,81,24.2,397,25.0,26.0,26.0,25.0,73,90.12,4.0,8.0,8.97,1.78,29.32,6.41,0.28,0.5,52.73
2016,S,Livermore Valley Joint Unified,Alameda,Livermore,Livermore High,public,151,37.68052700000001,-121.76173,1794.0,1.8,20.35,405,2.5,265,125,24.2,397,25.0,26.0,25.0,24.0,102,81.6,4.0,8.0,8.97,1.78,29.32,6.41,0.28,0.5,52.73
2017,S,Livermore Valley Joint Unified,Alameda,Livermore,Livermore High,public,151,37.68052700000001,-121.76173,1794.0,1.8,20.35,398,2.5,265,71,24.2,397,25.0,25.0,25.0,24.0,58,81.69,4.0,8.0,8.97,1.78,29.32,6.41,0.28,0.5,52.73
2018,S,Livermore Valley Joint Unified,Alameda,Livermore,Livermore High,public,151,37.68052700000001,-121.76173,1794.0,1.8,20.35,464,2.5,265,106,24.2,397,25.0,26.0,25.0,25.0,92,86.79,4.0,8.0,8.97,1.78,29.32,6.41,0.28,0.5,52.73
2014,S,Newark Unified,Alameda,Newark,Newark Memorial High,public,180,37.522095,-122.00175,1767.0,0.8,42.11,418,1.3,0,54,22.2,315,22.0,23.0,23.0,22.0,34,62.96,3.0,5.0,23.49,5.09,49.58,3.17,0.4,1.87,16.41
2015,S,Newark Unified,Alameda,Newark,Newark Memorial High,public,180,37.522095,-122.00175,1767.0,0.8,42.11,444,1.3,0,65,22.2,315,24.0,25.0,25.0,24.0,55,84.62,3.0,5.0,23.49,5.09,49.58,3.17,0.4,1.87,16.41
2016,S,Newark Unified,Alameda,Newark,Newark Memorial High,public,180,37.522095,-122.00175,1767.0,0.8,42.11,444,1.3,0,61,22.2,315,22.0,22.0,22.0,22.0,36,59.02,3.0,5.0,23.49,5.09,49.58,3.17,0.4,1.87,16.41
2017,S,Newark Unified,Alameda,Newark,Newark Memorial High,public,180,37.522095,-122.00175,1767.0,0.8,42.11,351,1.3,0,34,22.2,315,24.0,23.0,24.0,22.0,22,64.71,3.0,5.0,23.49,5.09,49.58,3.17,0.4,1.87,16.41
2018,S,Newark Unified,Alameda,Newark,Newark Memorial High,public,180,37.522095,-122.00175,1767.0,0.8,42.11,399,1.3,0,37,22.2,315,22.0,24.0,22.0,22.0,21,56.76,3.0,5.0,23.49,5.09,49.58,3.17,0.4,1.87,16.41
2014,S,Oakland Unified,Alameda,Oakland,Oakland Unity High,charter,12385,37.773705,-122.18548,337.0,0.8,76.85,67,1.3,0,34,24.9,39,13.0,16.0,18.0,16.0,4,11.76,4.0,5.0,0.59,5.93,86.05,6.23,0.59,0.59,0.0
2015,S,Oakland Unified,Alameda,Oakland,Oakland Unity High,charter,12385,37.773705,-122.18548,337.0,0.8,76.85,55,1.3,0,45,24.9,39,13.0,15.0,17.0,16.0,4,8.89,4.0,5.0,0.59,5.93,86.05,6.23,0.59,0.59,0.0
2016,S,Oakland Unified,Alameda,Oakland,Oakland Unity High,charter,12385,37.773705,-122.18548,337.0,0.8,76.85,66,1.3,0,64,24.9,39,14.0,16.0,18.0,16.0,5,7.81,4.0,5.0,0.59,5.93,86.05,6.23,0.59,0.59,0.0
2017,S,Oakland Unified,Alameda,Oakland,Oakland Unity High,charter,12385,37.773705,-122.18548,337.0,0.8,76.85,62,1.3,0,53,24.9,39,16.0,17.0,18.0,16.0,11,20.75,4.0,5.0,0.59,5.93,86.05,6.23,0.59,0.59,0.0
2018,S,Oakland Unified,Alameda,Oakland,Oakland Unity High,charter,12385,37.773705,-122.18548,337.0,0.8,76.85,72,1.3,0,56,24.9,39,15.0,17.0,17.0,17.0,6,10.71,4.0,5.0,0.59,5.93,86.05,6.23,0.59,0.59,0.0
2014,S,Oakland Unified,Alameda,Oakland,American Indian Public High,charter,16974,37.811176,-122.251045,229.0,1.1,85.15,32,76.2,47,26,24.9,46,23.0,24.0,26.0,22.0,17,65.38,3.0,6.0,63.32,15.28,18.34,1.31,0.0,0.0,1.75
2015,S,Oakland Unified,Alameda,Oakland,American Indian Public High,charter,16974,37.811176,-122.251045,229.0,1.1,85.15,27,76.2,47,27,24.9,46,24.0,23.0,27.0,24.0,21,77.78,3.0,6.0,63.32,15.28,18.34,1.31,0.0,0.0,1.75
2017,S,Oakland Unified,Alameda,Oakland,American Indian Public High,charter,16974,37.811176,-122.251045,229.0,1.1,85.15,29,76.2,47,20,24.9,46,23.0,22.0,25.0,21.0,14,70.0,3.0,6.0,63.32,15.28,18.34,1.31,0.0,0.0,1.75
2014,S,Oakland Unified,Alameda,Oakland,Coliseum College Prep Academy,public,17091,37.761974,-122.19337,482.0,0.0,95.64,53,10.2,32,21,55.8,22,12.0,14.0,16.0,14.0,1,4.76,3.0,4.0,1.45,12.03,85.27,0.21,0.0,0.83,0.21
2015,S,Oakland Unified,Alameda,Oakland,Coliseum College Prep Academy,public,17091,37.761974,-122.19337,482.0,0.0,95.64,51,10.2,32,11,55.8,22,15.0,17.0,17.0,17.0,0,0.0,3.0,4.0,1.45,12.03,85.27,0.21,0.0,0.83,0.21
2016,S,Oakland Unified,Alameda,Oakland,Coliseum College Prep Academy,public,17091,37.761974,-122.19337,482.0,0.0,95.64,61,10.2,32,18,55.8,22,15.0,16.0,17.0,16.0,1,5.56,3.0,4.0,1.45,12.03,85.27,0.21,0.0,0.83,0.21
2014,S,Oakland Unified,Alameda,Oakland,Oakland Charter High,charter,17494,37.785854,-122.21961,475.0,0.0,83.13,49,10.2,32,27,51.5,113,21.0,20.0,25.0,20.0,14,51.85,3.0,9.0,49.13,4.96,44.42,0.0,0.0,0.25,1.24
2015,S,Oakland Unified,Alameda,Oakland,Oakland Charter High,charter,17494,37.785854,-122.21961,475.0,0.0,83.13,55,10.2,32,50,51.5,113,22.0,22.0,25.0,22.0,35,70.0,3.0,9.0,49.13,4.96,44.42,0.0,0.0,0.25,1.24
2016,S,Oakland Unified,Alameda,Oakland,Oakland Charter High,charter,17494,37.785854,-122.21961,475.0,0.0,83.13,66,10.2,32,30,51.5,113,23.0,24.0,25.0,22.0,20,66.67,3.0,9.0,49.13,4.96,44.42,0.0,0.0,0.25,1.24
2017,S,Oakland Unified,Alameda,Oakland,Oakland Charter High,charter,17494,37.785854,-122.21961,475.0,0.0,83.13,82,10.2,32,37,51.5,113,23.0,24.0,24.0,22.0,23,62.16,3.0,9.0,49.13,4.96,44.42,0.0,0.0,0.25,1.24
2018,S,Oakland Unified,Alameda,Oakland,Oakland Charter High,charter,17494,37.785854,-122.21961,475.0,0.0,83.13,91,10.2,32,33,51.5,113,23.0,22.0,23.0,21.0,18,54.55,3.0,9.0,49.13,4.96,44.42,0.0,0.0,0.25,1.24
2014,S,Oakland Unified,Alameda,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,146,12.1,219,14,23.8,529,13.0,16.0,18.0,16.0,3,21.43,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2014,S,Fremont Union High,Santa Clara,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,550,12.1,219,178,23.8,529,23.0,23.0,25.0,23.0,120,67.42,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2015,S,Oakland Unified,Alameda,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,147,12.1,219,28,23.8,529,13.0,14.0,16.0,15.0,0,0.0,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2015,S,Fremont Union High,Santa Clara,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,500,12.1,219,163,23.8,529,24.0,24.0,25.0,23.0,119,73.01,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2016,S,Fremont Union High,Santa Clara,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,462,12.1,219,133,23.8,529,25.0,25.0,26.0,25.0,97,72.93,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2017,S,Fremont Union High,Santa Clara,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,488,12.1,219,90,23.8,529,25.0,25.0,25.0,25.0,71,78.89,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2018,S,Oakland Unified,Alameda,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,146,12.1,219,18,23.8,529,15.0,18.0,17.0,17.0,2,11.11,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2018,S,Fremont Union High,Santa Clara,Sunnyvale,Fremont High,public,5497,37.35253,-122.03249,1965.0,1.1,35.42,512,12.1,219,120,23.8,529,26.0,26.0,26.0,25.0,92,76.67,4.0,7.0,28.35,1.73,44.17,4.94,0.15,0.81,19.85
2014,S,Oakland Unified,Alameda,Oakland,Oakland High,public,247,37.80529,-122.23652,1583.0,0.6,88.19,366,4.2,332,105,20.5,41,17.0,17.0,20.0,19.0,31,29.52,3.0,2.0,33.23,34.68,26.78,2.4,0.13,0.69,2.08
2015,S,Oakland Unified,Alameda,Oakland,Oakland High,public,247,37.80529,-122.23652,1583.0,0.6,88.19,334,4.2,332,123,20.5,41,17.0,18.0,19.0,18.0,38,30.89,3.0,2.0,33.23,34.68,26.78,2.4,0.13,0.69,2.08
2016,S,Oakland Unified,Alameda,Oakland,Oakland High,public,247,37.80529,-122.23652,1583.0,0.6,88.19,322,4.2,332,111,20.5,41,17.0,18.0,19.0,18.0,27,24.32,3.0,2.0,33.23,34.68,26.78,2.4,0.13,0.69,2.08
2017,S,Oakland Unified,Alameda,Oakland,Oakland High,public,247,37.80529,-122.23652,1583.0,0.6,88.19,287,4.2,332,90,20.5,41,18.0,19.0,19.0,18.0,20,22.22,3.0,2.0,33.23,34.68,26.78,2.4,0.13,0.69,2.08
2018,S,Oakland Unified,Alameda,Oakland,Oakland High,public,247,37.80529,-122.23652,1583.0,0.6,88.19,339,4.2,332,76,20.5,41,19.0,20.0,20.0,20.0,27,35.53,3.0,2.0,33.23,34.68,26.78,2.4,0.13,0.69,2.08
2014,S,Oakland Unified,Alameda,Oakland,Oakland Technical High,public,248,37.831726,-122.25413,2016.0,0.7,47.92,442,16.8,484,171,26.4,522,22.0,23.0,23.0,22.0,103,60.23,4.0,7.0,19.74,31.4,18.2,6.5,0.15,0.25,23.76
2015,S,Oakland Unified,Alameda,Oakland,Oakland Technical High,public,248,37.831726,-122.25413,2016.0,0.7,47.92,450,16.8,484,188,26.4,522,22.0,22.0,23.0,22.0,108,57.45,4.0,7.0,19.74,31.4,18.2,6.5,0.15,0.25,23.76
2016,S,Oakland Unified,Alameda,Oakland,Oakland Technical High,public,248,37.831726,-122.25413,2016.0,0.7,47.92,469,16.8,484,196,26.4,522,23.0,24.0,24.0,23.0,129,65.82,4.0,7.0,19.74,31.4,18.2,6.5,0.15,0.25,23.76
2017,S,Oakland Unified,Alameda,Oakland,Oakland Technical High,public,248,37.831726,-122.25413,2016.0,0.7,47.92,476,16.8,484,173,26.4,522,25.0,25.0,24.0,24.0,124,71.68,4.0,7.0,19.74,31.4,18.2,6.5,0.15,0.25,23.76
2018,S,Oakland Unified,Alameda,Oakland,Oakland Technical High,public,248,37.831726,-122.25413,2016.0,0.7,47.92,474,16.8,484,114,26.4,522,24.0,24.0,24.0,23.0,79,69.3,4.0,7.0,19.74,31.4,18.2,6.5,0.15,0.25,23.76
2014,S,Oakland Unified,Alameda,Oakland,Oakland School for the Arts,charter,12307,37.808144,-122.270645,784.0,0.7,12.08,75,16.8,484,17,26.7,97,21.0,21.0,18.0,18.0,6,35.29,4.0,8.0,4.83,17.85,12.08,27.65,0.67,0.4,36.51
2015,S,Oakland Unified,Alameda,Oakland,Oakland School for the Arts,charter,12307,37.808144,-122.270645,784.0,0.7,12.08,99,16.8,484,29,26.7,97,23.0,23.0,19.0,20.0,18,62.07,4.0,8.0,4.83,17.85,12.08,27.65,0.67,0.4,36.51
2016,S,Oakland Unified,Alameda,Oakland,Oakland School for the Arts,charter,12307,37.808144,-122.270645,784.0,0.7,12.08,86,16.8,484,25,26.7,97,22.0,24.0,19.0,20.0,13,52.0,4.0,8.0,4.83,17.85,12.08,27.65,0.67,0.4,36.51
2017,S,Oakland Unified,Alameda,Oakland,Oakland School for the Arts,charter,12307,37.808144,-122.270645,784.0,0.7,12.08,107,16.8,484,24,26.7,97,26.0,27.0,22.0,23.0,18,75.0,4.0,8.0,4.83,17.85,12.08,27.65,0.67,0.4,36.51
2018,S,Oakland Unified,Alameda,Oakland,Oakland School for the Arts,charter,12307,37.808144,-122.270645,784.0,0.7,12.08,103,16.8,484,33,26.7,97,25.0,26.0,21.0,23.0,23,69.7,4.0,8.0,4.83,17.85,12.08,27.65,0.67,0.4,36.51
2014,S,Piedmont City Unified,Alameda,Piedmont,Piedmont High,public,275,37.823673,-122.2329,800.0,0.7,1.13,172,16.8,484,82,39.5,390,29.0,28.0,27.0,27.0,77,93.9,4.0,10.0,17.88,2.25,4.13,7.25,0.13,0.13,68.25
2015,S,Piedmont City Unified,Alameda,Piedmont,Piedmont High,public,275,37.823673,-122.2329,800.0,0.7,1.13,198,16.8,484,86,39.5,390,28.0,28.0,28.0,27.0,80,93.02,4.0,10.0,17.88,2.25,4.13,7.25,0.13,0.13,68.25
2016,S,Piedmont City Unified,Alameda,Piedmont,Piedmont High,public,275,37.823673,-122.2329,800.0,0.7,1.13,178,16.8,484,84,39.5,390,30.0,30.0,28.0,28.0,82,97.62,4.0,10.0,17.88,2.25,4.13,7.25,0.13,0.13,68.25
2017,S,Piedmont City Unified,Alameda,Piedmont,Piedmont High,public,275,37.823673,-122.2329,800.0,0.7,1.13,198,16.8,484,142,39.5,390,30.0,29.0,28.0,28.0,136,95.77,4.0,10.0,17.88,2.25,4.13,7.25,0.13,0.13,68.25
2018,S,Piedmont City Unified,Alameda,Piedmont,Piedmont High,public,275,37.823673,-122.2329,800.0,0.7,1.13,188,16.8,484,85,39.5,390,31.0,30.0,28.0,29.0,83,97.65,4.0,10.0,17.88,2.25,4.13,7.25,0.13,0.13,68.25
2014,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,29.2,242,6.8,273,87,23.8,441,15.0,16.0,17.0,16.0,8,9.2,4.0,8.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,84.69,242,6.8,273,87,22.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,8.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.7,72.93,242,12.5,4,87,0.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,8.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2014,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,29.2,242,6.8,273,87,23.8,441,15.0,16.0,17.0,16.0,8,9.2,4.0,3.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,84.69,242,6.8,273,87,22.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,3.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.7,72.93,242,12.5,4,87,0.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,3.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2014,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,29.2,242,6.8,273,87,23.8,441,15.0,16.0,17.0,16.0,8,9.2,4.0,2.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,84.69,242,6.8,273,87,22.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,2.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.7,72.93,242,12.5,4,87,0.0,32,15.0,16.0,17.0,16.0,8,9.2,4.0,2.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2014,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,29.2,474,6.8,273,77,23.8,441,24.0,25.0,25.0,24.0,62,80.52,4.0,8.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,84.69,474,6.8,273,77,22.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,8.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.7,72.93,474,12.5,4,77,0.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,8.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2014,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,29.2,474,6.8,273,77,23.8,441,24.0,25.0,25.0,24.0,62,80.52,4.0,3.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,84.69,474,6.8,273,77,22.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,3.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.7,72.93,474,12.5,4,77,0.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,3.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2014,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,29.2,474,6.8,273,77,23.8,441,24.0,25.0,25.0,24.0,62,80.52,4.0,2.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2014,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,84.69,474,6.8,273,77,22.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,2.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2014,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.7,72.93,474,12.5,4,77,0.0,32,24.0,25.0,25.0,24.0,62,80.52,4.0,2.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,29.2,218,6.8,273,14,23.8,441,15.0,16.0,17.0,16.0,1,7.14,4.0,8.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,84.69,218,6.8,273,14,22.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,8.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Washington Unified,Fresno,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.7,72.93,218,12.5,4,14,0.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,8.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,29.2,218,6.8,273,14,23.8,441,15.0,16.0,17.0,16.0,1,7.14,4.0,3.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,84.69,218,6.8,273,14,22.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,3.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Washington Unified,Fresno,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.7,72.93,218,12.5,4,14,0.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,3.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,29.2,218,6.8,273,14,23.8,441,15.0,16.0,17.0,16.0,1,7.14,4.0,2.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,84.69,218,6.8,273,14,22.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,2.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Washington Unified,Fresno,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.7,72.93,218,12.5,4,14,0.0,32,15.0,16.0,17.0,16.0,1,7.14,4.0,2.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,29.2,442,6.8,273,118,23.8,441,26.0,26.0,27.0,26.0,99,83.9,4.0,8.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,84.69,442,6.8,273,118,22.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,8.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.7,72.93,442,12.5,4,118,0.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,8.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,29.2,442,6.8,273,118,23.8,441,26.0,26.0,27.0,26.0,99,83.9,4.0,3.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,84.69,442,6.8,273,118,22.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,3.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.7,72.93,442,12.5,4,118,0.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,3.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2015,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,29.2,442,6.8,273,118,23.8,441,26.0,26.0,27.0,26.0,99,83.9,4.0,2.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2015,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,84.69,442,6.8,273,118,22.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,2.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2015,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.7,72.93,442,12.5,4,118,0.0,32,26.0,26.0,27.0,26.0,99,83.9,4.0,2.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2016,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,29.2,425,6.8,273,93,23.8,441,27.0,27.0,26.0,26.0,82,88.17,4.0,8.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2016,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.5,84.69,425,6.8,273,93,22.0,32,27.0,27.0,26.0,26.0,82,88.17,4.0,8.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2016,S,Fremont Unified,Alameda,Fremont,Washington High,public,106,37.552082,-121.99484,1822.0,3.7,72.93,425,12.5,4,93,0.0,32,27.0,27.0,26.0,26.0,82,88.17,4.0,8.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2016,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,29.2,425,6.8,273,93,23.8,441,27.0,27.0,26.0,26.0,82,88.17,4.0,3.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2016,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.5,84.69,425,6.8,273,93,22.0,32,27.0,27.0,26.0,26.0,82,88.17,4.0,3.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
2016,S,Fremont Unified,Alameda,Fresno,Washington High,public,974,36.648148,-119.79091,1032.0,3.7,72.93,425,12.5,4,93,0.0,32,27.0,27.0,26.0,26.0,82,88.17,4.0,3.0,2.26,6.02,72.18,0.75,0.75,2.26,15.79
2016,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,29.2,425,6.8,273,93,23.8,441,27.0,27.0,26.0,26.0,82,88.17,4.0,2.0,42.26,5.16,21.9,3.07,0.27,0.82,26.51
2016,S,Fremont Unified,Alameda,Colton,Washington High,public,11080,34.071853999999995,-117.31268,133.0,3.5,84.69,425,6.8,273,93,22.0,32,27.0,27.0,26.0,26.0,82,88.17,4.0,2.0,9.79,5.81,70.83,1.07,3.78,0.0,8.72
